,0
0,98.74653954487121
1,97.69380116481676
2,95.9108479712257
3,95.81873479345984
4,96.03903259596473
5,93.07339069526154
6,98.04837005728868
7,92.060058426436
8,94.09807321504546
9,93.3569978495116
10,91.88379410274901
11,91.89576292925196
12,91.90477000393298
13,96.92062532618073
14,92.02423653751522
15,90.23389219840516
16,82.92822074519127
17,81.86501258228444
18,80.30609766582033
19,80.16612700817566
20,80.46473780839278
21,77.68954291172557
22,82.43025424136749
23,76.29426253552356
24,79.79250214302904
25,77.37265172022627
26,80.59719639938226
27,79.13565076654787
28,80.3943933317496
29,81.37447626320804
30,76.43528074390593
31,77.05021466210584
32,81.95287447064285
33,80.69976333682986
34,77.78186031547187
35,81.0466807773214
36,80.34483951519721
37,76.89920816192617
38,81.02058475006017
39,76.06933310030523
40,77.53854149959346
41,77.01796639641258
42,78.53851424985042
43,80.04318715667543
